matricule;date;quantite;fournisseur;typePaiement;note;station
1139;15/07/2023 12:28;342.57;0;1407023587;3;94
2472;15/07/2023 10:53;36.73;0;1407044677;4;94
837710;16/07/2023 14:01;35.85;0;1407058655;4;27
2522;16/07/2023 19:48;28.51;0;1407009157;0;109
2834;17/07/2023 00:24;11.88;0;1407046036;0;14
2602;17/07/2023 02:04;33.66;0;1407004594;0;99
2515;17/07/2023 08:22;150.13;0;1407004707;3;7
1234;17/07/2023 12:47;125.94;0;1407004727;3;45
2544;17/07/2023 12:02;136.02;0;1407040610;3;94
2539;17/07/2023 12:00;27.72;0;1407018026;0;90
1889;17/07/2023 11:46;39.91;0;1407025486;4;94
2530;17/07/2023 11:17;31.68;0;1407004596;0;63
218;17/07/2023 15:59;55.92;0;1407004717;3;100
2487;17/07/2023 14:48;36.44;0;1407022475;0;38
294;17/07/2023 13:44;65.99;0;1407020803;3;32
2394;17/07/2023 18:32;151.13;0;1407020802;3;94
929;18/07/2023 07:21;58.44;0;1407004714;3;15
2537;18/07/2023 08:55;37.03;0;1407040611;3;95
2558;18/07/2023 07:48;19.8;0;1407004595;0;93
2502;18/07/2023 10:37;32.75;0;1407062407;3;89
2374;18/07/2023 16:15;23.76;0;1407022474;0;109
1139;18/07/2023 16:07;342.57;0;1407023587;3;94
2559;18/07/2023 14:31;138.54;0;1407004726;3;94
2532;18/07/2023 14:14;50.34;0;1407026665;4;99
2476;18/07/2023 20:35;36.28;0;1407022662;4;100
2834;18/07/2023 23:30;19.8;0;1407046036;0;68
2530;19/07/2023 09:59;29.7;0;1407004596;0;99
2374;19/07/2023 09:22;31.68;0;1407022474;0;25
817367;19/07/2023 09:00;14.26;0;1407027605;0;90
929;19/07/2023 12:06;65.49;0;1407004714;3;4
2515;19/07/2023 11:41;175.82;0;1407004707;3;18
817397;19/07/2023 10:46;19.8;0;1407004720;0;94
2504;19/07/2023 15:51;19.8;0;1407004598;0;94
2394;19/07/2023 15:20;100.76;0;1407020802;3;94
837710;19/07/2023 14:57;36.28;0;1407058655;4;62
837709;19/07/2023 12:12;25.19;0;1407022917;3;94
230;20/07/2023 10:01;73.05;0;1407018303;3;106
2487;20/07/2023 09:23;15.05;0;1407022475;0;38
817372;20/07/2023 08:58;80.6;0;1407022915;3;94
294;20/07/2023 08:59;71.54;0;1407020803;3;87
